Query,Run,Time (ms)
3-Hop Traversal,51,235.06
3-Hop Traversal,52,220.64
3-Hop Traversal,53,291.53
3-Hop Traversal,54,210.78
3-Hop Traversal,55,337.51
3-Hop Traversal,56,249.34
3-Hop Traversal,57,218.96
3-Hop Traversal,58,200.98
3-Hop Traversal,59,213.46
3-Hop Traversal,60,384.24
3-Hop Traversal,61,206.39
3-Hop Traversal,62,207.29
3-Hop Traversal,63,248.04
3-Hop Traversal,64,237.02
3-Hop Traversal,65,200.50
3-Hop Traversal,66,209.32
3-Hop Traversal,67,200.51
3-Hop Traversal,68,198.46
3-Hop Traversal,69,186.75
3-Hop Traversal,70,229.29
3-Hop Traversal,71,333.62
3-Hop Traversal,72,211.64
3-Hop Traversal,73,193.77
3-Hop Traversal,74,184.35
3-Hop Traversal,75,209.90
3-Hop Traversal,76,201.54
3-Hop Traversal,77,316.24
3-Hop Traversal,78,234.13
3-Hop Traversal,79,197.89
3-Hop Traversal,80,204.75
3-Hop Traversal,81,205.91
3-Hop Traversal,82,389.46
3-Hop Traversal,83,189.73
3-Hop Traversal,84,203.79
3-Hop Traversal,85,228.14
3-Hop Traversal,86,194.58
3-Hop Traversal,87,201.86
3-Hop Traversal,88,207.85
3-Hop Traversal,89,728.71
3-Hop Traversal,90,262.29
3-Hop Traversal,91,191.95
3-Hop Traversal,92,191.87
3-Hop Traversal,93,212.31
3-Hop Traversal,94,244.93
3-Hop Traversal,95,210.60
3-Hop Traversal,96,220.64
3-Hop Traversal,97,204.43
3-Hop Traversal,98,205.66
3-Hop Traversal,99,216.03
3-Hop Traversal,100,214.70
Aggregation,1,144.29
Aggregation,2,119.18
Aggregation,3,120.72
Aggregation,4,129.67
Aggregation,5,126.80
Aggregation,6,134.01
Aggregation,7,155.46
Aggregation,8,117.21
Aggregation,9,136.75
Aggregation,10,113.28
Aggregation,11,124.69
Aggregation,12,122.53
Aggregation,13,109.64
Aggregation,14,130.65
Aggregation,15,148.15
Aggregation,16,113.61
Aggregation,17,127.58
Aggregation,18,116.50
Aggregation,19,140.43
Aggregation,20,112.60
Aggregation,21,121.77
Aggregation,22,131.70
Aggregation,23,127.02
Aggregation,24,119.52
Aggregation,25,115.21
Aggregation,26,107.65
Aggregation,27,117.58
Aggregation,28,111.73
Aggregation,29,127.29
Aggregation,30,110.18
Aggregation,31,123.88
Aggregation,32,126.22
Aggregation,33,123.46
Aggregation,34,110.58
Aggregation,35,126.50
Aggregation,36,152.08
Aggregation,37,119.88
Aggregation,38,118.28
Aggregation,39,123.46
Aggregation,40,121.06
Aggregation,41,124.35
Aggregation,42,121.55
Aggregation,43,110.50
Aggregation,44,166.58
Aggregation,45,119.36
Aggregation,46,113.38
Aggregation,47,113.94
Aggregation,48,123.30
Aggregation,49,198.06
Aggregation,50,126.25
Aggregation,51,110.95
Aggregation,52,117.73
Aggregation,53,119.69
Aggregation,54,113.21
Aggregation,55,146.41
Aggregation,56,122.79
Aggregation,57,129.72
Aggregation,58,115.96
Aggregation,59,151.70
Aggregation,60,129.76
Aggregation,61,111.79
Aggregation,62,109.57
Aggregation,63,124.12
Aggregation,64,125.78
Aggregation,65,122.98
Aggregation,66,120.90
Aggregation,67,117.39
Aggregation,68,126.53
Aggregation,69,136.11
Aggregation,70,106.54
Aggregation,71,123.89
Aggregation,72,118.96
Aggregation,73,130.56
Aggregation,74,114.16
Aggregation,75,119.48
Aggregation,76,115.09
Aggregation,77,116.70
Aggregation,78,111.59
Aggregation,79,125.91
Aggregation,80,112.51
Aggregation,81,118.85
Aggregation,82,120.45
Aggregation,83,120.42
Aggregation,84,117.13
Aggregation,85,113.65
Aggregation,86,121.90
Aggregation,87,115.46
Aggregation,88,114.71
Aggregation,89,106.71
Aggregation,90,124.35
Aggregation,91,116.88
Aggregation,92,112.90
Aggregation,93,141.27
Aggregation,94,126.12
Aggregation,95,126.64
Aggregation,96,124.84
Aggregation,97,116.19
Aggregation,98,128.63
Aggregation,99,121.63
Aggregation,100,136.46
